,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
16,32,technician,married,unknown,no,yes,no,cellular,jul,tue,324,2,34,2,failure,-1.3197893482945906,94.25234538909187,-38.80031584284015,0.7480959186024805,4990.428321585072,yes
17,57,services,single,unknown,no,yes,no,cellular,jun,wed,336,3,1399,-1,nonexistent,-2.7929543558193033,93.39791674118291,-30.830043816372452,0.6350140213040188,5015.846026900375,yes
18,35,admin.,unknown,high.school,unknown,yes,yes,cellular,sep,tue,190,5,248,3,nonexistent,-1.1235074047256446,93.83273842840788,-34.63775094896115,0.6575732785520182,4990.123323071041,yes
19,59,admin.,unknown,basic.4y,no,no,no,cellular,nov,mon,87,1,777,0,nonexistent,-1.13344620436931,93.73466685114929,-38.37202911007409,1.0229454278584331,4974.534029659351,no
20,34,technician,single,unknown,unknown,no,no,cellular,may,thu,117,3,975,2,failure,-2.841035536590407,93.0927385354316,-31.0843929504819,0.6981849711101851,5015.870332630794,no
21,58,admin.,single,high.school,unknown,no,no,cellular,sep,mon,523,2,752,2,nonexistent,-1.1000022813424595,94.55998534051652,-40.38064462974761,0.7516085335736746,4968.959450332406,yes
22,34,management,unknown,university.degree,no,no,yes,cellular,jun,mon,177,1,1127,1,nonexistent,-1.4941721758190907,94.21543653451468,-41.64331627089268,0.9417337102574522,4987.9999958890985,no
23,19,admin.,single,unknown,unknown,no,no,cellular,sep,mon,18,2,808,1,failure,-1.1299311141056836,94.01781247904779,-38.96830693990843,0.6992028097065279,4991.57374954535,no
24,unknown,retired,unknown,professional.course,no,yes,no,cellular,may,thu,266,2,611,0,nonexistent,-1.1692241536202355,94.3963801221368,-44.44694498291215,0.8885888841741316,4978.682475885227,yes
25,unknown,admin.,married,unknown,no,no,no,cellular,sep,tue,182,0,416,1,nonexistent,-3.349992647988337,92.06587561057867,-23.912604359300232,0.7167440813974875,5026.059348293055,no
26,89,retired,single,unknown,unknown,no,no,cellular,nov,wed,412,-1,-68,2,failure,-1.2058676986266916,94.22029113281472,-41.8552584720666,1.0156000751775525,4963.83634537515,yes
27,26,admin.,married,university.degree,unknown,no,no,cellular,aug,fri,382,0,735,1,nonexistent,-1.936096272435393,93.55769619089807,-40.69662673574096,0.832002005492389,5004.694502101339,no
28,65,retired,unknown,unknown,no,yes,no,cellular,jul,thu,225,3,1070,0,nonexistent,-1.1431892781358304,94.25839147876339,-41.437083993204354,0.7207290837126341,4988.427179919601,yes
29,50,housemaid,married,professional.course,no,yes,no,cellular,aug,wed,222,0,1174,-2,nonexistent,-1.2010930461315836,94.34499945373854,-38.16197926136848,0.7540468105587337,4982.061465270688,yes
30,40,self-employed,unknown,university.degree,unknown,yes,no,cellular,jul,fri,134,4,572,0,nonexistent,-1.3629051651070885,93.89915051221395,-39.65930741977525,0.8362825293202981,4990.1152877591,no
31,36,student,married,university.degree,no,yes,no,cellular,nov,thu,833,1,-171,2,failure,-3.2421885450486205,92.68454204682948,-32.22607752836314,0.8386440013475851,5020.889769678063,yes
32,unknown,admin.,single,university.degree,unknown,no,no,cellular,aug,thu,220,-1,428,2,failure,-2.104004965005471,93.59924287684623,-34.2979487455525,0.8280127537129541,4992.511665244688,yes
33,41,admin.,unknown,unknown,no,yes,no,cellular,nov,tue,46,2,409,1,failure,-1.1476491028110694,95.16641410876525,-50.23603204322268,0.8755295047877848,4976.597379740274,no
34,38,retired,married,professional.course,no,yes,no,cellular,jul,wed,345,4,764,1,nonexistent,-1.9986245528116688,93.46099808827765,-40.20397903814653,0.6483481083859514,5018.054913913073,yes
35,51,retired,married,university.degree,no,unknown,no,cellular,jun,tue,65,3,829,1,failure,-1.1163867924821034,94.79963447018496,-46.37439069479549,0.9733490322785536,4968.199554019728,no
36,39,technician,divorced,basic.4y,no,no,no,cellular,jun,tue,190,1,214,1,nonexistent,-1.3430826448181699,94.13713118393217,-40.64052404390075,0.7867053135710723,4987.983186757004,no
37,50,admin.,unknown,university.degree,unknown,no,no,cellular,nov,wed,157,1,726,1,failure,-1.425133411741919,94.06889768404322,-39.14664282607039,0.7937462023331494,4988.214464207274,no
38,34,services,married,unknown,no,yes,no,cellular,may,tue,166,2,933,0,nonexistent,-1.7760690997486952,93.37021788043054,-34.8921578717583,0.6796628817442827,5018.044737979507,yes
39,28,admin.,single,basic.6y,no,no,no,cellular,sep,tue,237,1,267,1,failure,-1.1943319030518142,93.66610673867255,-35.252709486118356,0.9924816315011971,4975.475450605802,no
40,51,admin.,single,unknown,no,no,no,cellular,sep,tue,251,2,320,1,nonexistent,-1.485399602249941,92.91931958023784,-30.334056610671237,0.7040916200493029,4997.566218711563,yes
41,unknown,admin.,single,high.school,no,no,no,cellular,jun,thu,225,0,835,-1,nonexistent,-3.262277070468557,92.72780008732892,-29.670734099333764,0.8105756421755269,5003.78898808942,yes
42,38,admin.,unknown,unknown,no,no,no,cellular,nov,tue,134,0,586,2,failure,-1.2171748613197004,93.58513177270379,-38.997008077002356,0.9605507345497099,4983.941241118966,no
43,unknown,management,divorced,unknown,no,yes,no,cellular,nov,tue,431,3,1206,2,failure,-1.1227144916818634,94.22203443620066,-42.63819957335038,0.9343759904693667,4973.320246568161,yes
44,22,unknown,single,basic.6y,no,unknown,no,cellular,jul,tue,156,2,275,2,failure,-1.6845188681362004,93.53866739934813,-37.25416377645854,0.8311294910744358,4999.551232942198,no
45,25,student,married,high.school,no,yes,no,cellular,nov,mon,200,2,632,0,nonexistent,-1.3614963381155154,93.90640992469848,-41.65318062978571,0.9594410475589132,4980.04066240893,yes
46,31,unknown,single,university.degree,no,unknown,no,cellular,jul,mon,16,1,509,1,failure,-2.9832370497807155,93.11923843678795,-31.583698778108428,0.6398185352039206,5017.544961367336,no
47,41,technician,single,unknown,unknown,no,no,cellular,nov,thu,233,3,-43,1,nonexistent,-3.0121631752731357,93.23845697918813,-32.038378690498945,0.708386231353846,4997.748487656464,yes
48,unknown,admin.,unknown,unknown,unknown,no,no,cellular,sep,tue,197,2,1529,-1,nonexistent,-2.59033575315572,93.0802468633948,-26.223443519808377,0.6749319444965894,5002.054596197864,yes
49,43,student,unknown,basic.4y,unknown,yes,no,cellular,may,tue,284,2,2,2,failure,-2.8644881760951866,92.74603487111708,-26.917197158844623,0.6421717529855934,5033.021023400055,yes
50,24,technician,married,university.degree,no,yes,no,cellular,sep,tue,156,3,225,1,nonexistent,-2.340652926248227,92.8838359523437,-29.57949723328307,0.7508107503692656,5010.402492303229,no
51,unknown,admin.,divorced,university.degree,unknown,no,no,cellular,aug,fri,161,1,999,1,nonexistent,-2.65531267030806,93.31249030360293,-34.18574952377698,0.6550474477650863,5016.616722683993,yes
52,38,admin.,single,unknown,unknown,no,no,cellular,jul,wed,243,3,1367,1,nonexistent,-1.206587865837148,94.25228310007611,-41.96294232712198,0.734654504365422,4984.5754602571415,yes
53,24,admin.,married,unknown,no,yes,no,cellular,may,thu,258,1,1020,0,failure,-3.3977108777586564,91.73342716802547,-22.00882297671425,0.6352107262005818,5054.560851155654,yes
54,unknown,admin.,unknown,unknown,unknown,no,no,cellular,nov,thu,106,3,745,1,failure,-1.7360027308960266,93.60066201831634,-40.08835919883925,0.868057962810823,4995.229060825906,no
55,unknown,management,unknown,university.degree,no,yes,no,cellular,sep,wed,206,3,764,-1,nonexistent,-1.3728684985931543,93.17464069380651,-28.913622003393623,0.7185158477426229,4994.7981569967305,yes
56,26,technician,unknown,unknown,unknown,yes,no,cellular,jul,thu,228,1,1553,-3,nonexistent,-1.1816328688867048,94.8496849487464,-46.39983697419551,0.9039484135330896,4978.6459589249735,no
57,23,student,married,unknown,no,yes,no,cellular,nov,tue,491,3,412,2,failure,-1.9684174132502814,94.24573873189092,-42.9258378770342,0.9944429880733735,4984.473320127385,yes
58,unknown,student,married,university.degree,no,no,no,cellular,nov,thu,268,2,-405,3,failure,-1.5292322086590417,93.578214041229,-36.734145042493715,0.834141120818743,4991.381417075021,yes
59,31,admin.,married,unknown,unknown,no,no,cellular,jul,mon,675,2,1169,1,failure,-3.3999697788615078,91.31996386321266,-17.50921592523847,0.6408919115335557,5050.704301670531,no
60,43,admin.,married,high.school,no,no,unknown,cellular,may,thu,171,4,1936,0,nonexistent,-1.1054357022397507,93.75497172357892,-45.32664519374637,0.8024477669895529,4996.35185350003,no
61,60,technician,single,basic.4y,no,no,yes,cellular,may,mon,252,1,412,0,nonexistent,-3.053489577986011,93.2180719713175,-32.96919613235836,0.8212029340782119,5008.963091909467,yes
62,62,entrepreneur,married,high.school,unknown,no,no,cellular,nov,mon,253,4,806,0,nonexistent,-2.0953865384533974,93.38256315070664,-35.36144440303966,0.8982495643827153,4995.08550929822,no
63,28,management,divorced,unknown,no,no,no,cellular,sep,mon,224,1,767,0,nonexistent,-2.8298396585319585,93.18423641732095,-27.639860139402682,0.8180019812338855,4991.29925871652,yes
64,unknown,admin.,married,unknown,no,yes,no,cellular,jul,thu,1310,4,889,-1,nonexistent,-1.4086242994518652,94.24050748794201,-42.33789736627182,0.9084384543522388,4990.178497984055,yes
65,unknown,technician,unknown,high.school,no,no,no,cellular,may,wed,169,1,833,1,failure,-3.096641103800569,92.6009554885592,-29.195975908825982,0.6373144265953901,5032.09626737214,yes
66,31,admin.,unknown,unknown,no,no,no,cellular,may,thu,520,3,1056,0,nonexistent,-1.9747373405662156,93.74658733811849,-42.355133720606325,0.9693360119158956,4988.067571737802,no
67,29,admin.,married,basic.4y,no,no,no,cellular,sep,thu,437,1,780,1,failure,-1.1006089756583073,94.5757672095318,-41.35747445695942,0.9293609614914411,4964.724475255899,no
68,56,student,unknown,professional.course,unknown,yes,no,cellular,sep,tue,108,4,1468,0,failure,-1.1363461842831684,93.44622335976374,-34.60115696999943,0.9730734612796864,4962.0172467388675,no
69,38,student,unknown,unknown,no,no,no,cellular,sep,tue,205,4,-103,1,success,-2.594361167318093,92.2549008861536,-23.3500586288214,0.6380136860392227,5023.454679682985,yes
70,32,technician,married,basic.6y,no,unknown,no,cellular,nov,wed,327,3,-641,2,success,-3.397968670693261,92.5137606155469,-25.94203306873381,0.7381010347637418,5020.696168943879,yes
71,52,admin.,unknown,unknown,unknown,yes,no,cellular,nov,wed,757,4,1057,-1,nonexistent,-2.2789414096706144,93.61507738097337,-37.81477825307689,0.7605959182161321,5009.12756733935,yes
72,30,admin.,unknown,university.degree,no,no,no,cellular,nov,tue,360,2,568,2,nonexistent,-1.2167591823102315,93.77850987897854,-35.49071088330081,0.8007473496011248,4990.87498942449,yes
73,57,unknown,unknown,basic.4y,no,unknown,no,cellular,nov,wed,81,1,884,0,nonexistent,-3.340394629192824,92.48209215295373,-28.933798981527524,0.7000551730497278,5023.113199555729,no
74,36,management,single,professional.course,no,yes,no,cellular,sep,tue,140,1,589,0,nonexistent,-1.1871440973802643,93.63871121534663,-34.96137310175457,0.7633176501670296,4985.180879410096,yes
75,25,services,single,unknown,no,yes,no,cellular,sep,tue,91,1,704,3,nonexistent,-1.100504324612246,94.25308558771584,-44.20509855865353,0.766704176715894,4970.423575910607,no
76,unknown,admin.,single,basic.6y,unknown,no,no,cellular,jul,wed,79,1,1274,1,failure,-1.1000997930222756,94.62099872736653,-45.18809777746297,0.933810415575589,4964.1508554439115,yes
77,26,admin.,single,unknown,unknown,no,no,cellular,nov,tue,289,2,650,0,nonexistent,-1.2930703861023982,94.23178577936744,-38.913668381828195,0.7271303114347445,4986.626628976159,no
78,52,admin.,unknown,unknown,no,no,no,cellular,sep,wed,173,2,843,-2,nonexistent,-3.370126782704053,91.77287979045906,-20.563758418523314,0.6509871307801551,5034.981673226628,no
79,30,blue-collar,unknown,unknown,no,yes,no,cellular,sep,mon,230,2,268,2,nonexistent,-1.9937155776073914,93.0769169131955,-28.150736145855777,0.763832812726082,4999.110184131098,no
80,36,unknown,single,unknown,no,unknown,no,cellular,jun,tue,154,2,1648,-2,nonexistent,-3.1194047857301337,92.81749272307694,-32.69577680649302,0.7384702043440114,5019.5273835912885,yes
81,44,student,married,professional.course,no,unknown,no,cellular,nov,thu,175,4,929,0,nonexistent,-1.2054131591104822,94.6718811572288,-48.44725061446928,0.8144846294312613,4988.7503573061895,no
82,39,entrepreneur,single,unknown,unknown,unknown,no,cellular,jun,tue,291,3,680,1,failure,-1.1060941610785977,94.30232812721904,-42.34891113494702,0.7731445255042578,4982.753453044646,no
83,unknown,admin.,married,university.degree,no,no,no,cellular,sep,tue,77,1,500,1,nonexistent,-1.1334578447883215,94.31172091452339,-39.846732425532075,1.0016409300633717,4958.255776596264,yes
84,22,admin.,married,unknown,unknown,unknown,no,cellular,nov,tue,99,2,1218,0,nonexistent,-2.970693091010617,92.99811632186824,-33.64465907794602,0.8624590909629927,5003.858401920199,no
85,42,admin.,married,basic.9y,no,yes,no,cellular,nov,fri,3126,4,1246,0,failure,-1.543740022919568,93.61995600147522,-36.5907733333221,0.7219436778924334,4994.443734767369,yes
86,unknown,admin.,single,university.degree,unknown,yes,no,cellular,jul,tue,476,3,733,0,nonexistent,-1.3461033633518427,93.25348243120688,-37.89941414240782,0.7841750009866687,4997.300779815617,no
87,77,student,unknown,basic.4y,unknown,no,no,cellular,nov,tue,867,2,767,0,nonexistent,-2.221467054225162,93.26134114015117,-33.67638439839164,0.7346520633506796,5019.063602891187,yes
88,58,retired,single,unknown,unknown,yes,no,cellular,may,wed,166,4,413,1,nonexistent,-2.2402633823677767,93.45189827227162,-36.95260633263466,0.8335686221255876,4998.074848667502,yes
89,unknown,technician,single,unknown,no,yes,no,cellular,sep,wed,187,2,387,2,failure,-3.230485383721902,92.19850543582773,-22.944005077161094,0.7865739182149765,5005.996828954303,yes
90,76,admin.,married,professional.course,unknown,no,no,cellular,jul,fri,395,4,-394,4,success,-1.7500363683106142,93.85186727720802,-40.985689172127664,0.8900286140312194,4994.494534709886,no
91,35,retired,married,unknown,no,no,no,cellular,aug,mon,34,1,1594,-2,nonexistent,-3.0309026089499396,93.22663936036817,-29.648145958630124,0.679007342347064,5013.677026958167,no
92,36,admin.,single,university.degree,no,yes,no,cellular,sep,thu,169,0,1303,0,nonexistent,-1.2260117828752009,93.48449742001571,-32.53158261402359,0.7534379032316487,4981.771362458552,yes
93,52,retired,married,unknown,no,no,no,cellular,jul,wed,325,0,1110,1,nonexistent,-1.1185198771334472,94.6023155371146,-45.928094352968415,0.8419762112160901,4985.380406694691,yes
94,unknown,services,unknown,high.school,no,unknown,no,cellular,jul,mon,323,2,933,0,nonexistent,-1.1274110319900927,94.50907691271222,-41.53059311474932,0.7775246315417084,4981.330774702574,no
95,48,admin.,married,university.degree,unknown,unknown,no,cellular,may,tue,191,-1,203,1,success,-1.1002920980062547,94.27328060170686,-47.87149859967865,1.0137784707015771,4979.464813926012,no
96,74,retired,married,unknown,no,no,no,cellular,jul,thu,413,2,1312,0,nonexistent,-2.2629378587965054,93.087510314478,-30.935127965586084,0.7494284192113538,5012.051048194759,no
97,22,services,married,unknown,no,no,no,cellular,jun,thu,36,1,610,1,failure,-1.8609692491418648,93.45542329980555,-36.929426443541786,0.8231009278082,4992.968686436788,no
98,19,admin.,single,unknown,no,no,no,cellular,nov,tue,161,1,627,1,failure,-3.3924370653316904,92.30092385017977,-30.842040636765713,0.6518559343462166,5045.50766979564,no
99,36,student,single,professional.course,no,yes,no,cellular,nov,thu,203,4,1174,2,failure,-1.1003461720128396,94.87283480917343,-47.53898672343131,1.0421755386776717,4949.143992072537,no
100,unknown,admin.,unknown,unknown,no,yes,no,cellular,jun,thu,148,5,1012,-1,nonexistent,-1.162890759025899,94.24903572736937,-42.051337348250456,0.8782837063589845,4986.301655766023,yes
101,38,retired,unknown,unknown,no,no,no,cellular,nov,fri,296,2,221,1,nonexistent,-3.1247430345220173,92.82063917942189,-29.468880411692766,0.8403331714360989,5010.014263997233,yes
102,43,management,married,university.degree,no,yes,no,cellular,nov,tue,88,0,1515,0,nonexistent,-3.0535217768361167,92.83548069753566,-29.491825965868152,0.8922940896568363,5004.907342710889,no
103,68,admin.,single,unknown,no,yes,no,cellular,jul,thu,410,2,747,1,failure,-2.785311072554487,93.24299361664576,-34.96167099884901,0.7257148606410195,5015.346630760651,yes
104,45,admin.,single,professional.course,no,yes,no,cellular,nov,thu,306,2,348,1,failure,-1.852038223153458,93.38282242988237,-40.59695359882287,0.8051946431184704,5004.698022546511,yes
105,51,admin.,unknown,university.degree,no,no,yes,cellular,may,mon,199,2,-14,2,failure,-1.3443659871525804,93.8359309538174,-41.968021165249354,0.7267179926010847,5002.915163603217,yes
106,98,management,unknown,unknown,unknown,no,no,cellular,jun,fri,444,4,370,2,failure,-1.2512735154738226,93.30730922244697,-36.70986966846708,0.8111023001344072,4988.269190375574,no
107,56,retired,unknown,professional.course,no,no,no,cellular,aug,thu,266,0,1132,1,nonexistent,-1.4831448516744152,94.09989785280186,-41.85797065453737,1.0141964610042553,4962.299740394474,yes
108,unknown,admin.,single,unknown,no,yes,no,cellular,sep,mon,70,3,611,-2,nonexistent,-1.1458922308346882,94.01627620333909,-33.872314883996644,0.7635878223705572,4969.698279928537,yes
109,31,technician,unknown,unknown,no,yes,no,cellular,sep,fri,143,2,327,2,failure,-1.1001892789447054,94.19939241081308,-41.02962192666345,0.9965615169087083,4952.920845541765,no
110,32,technician,single,unknown,no,yes,no,cellular,nov,wed,295,2,334,3,failure,-1.102814943406257,94.1621914299662,-45.30608408375447,0.9900353821555574,4976.759461603192,no
111,64,retired,unknown,high.school,no,yes,no,cellular,may,tue,186,0,1429,-1,nonexistent,-3.051421057097413,92.60152863281562,-32.18799103138451,0.6829652758156298,5020.849491364995,no
112,31,admin.,unknown,university.degree,unknown,yes,no,cellular,jun,tue,208,2,867,1,nonexistent,-2.7747675236460045,93.37447340891934,-37.29504279284046,0.6511165393645373,5019.885228585245,no
113,42,management,single,unknown,no,no,no,cellular,sep,tue,279,1,763,1,failure,-1.6629977727102723,92.95698804372144,-31.53965755409307,0.8292739893396279,4996.172096561523,yes
114,34,management,single,university.degree,no,no,no,cellular,nov,tue,724,4,464,3,failure,-1.109512558587714,94.14842007430452,-44.102720400600845,0.8899663048461178,4992.202736158126,yes
115,40,unemployed,single,basic.9y,no,yes,no,cellular,sep,wed,266,3,36,4,failure,-1.1000541715375207,94.93134971594134,-44.408457668604285,0.9417042616155586,4952.655527100016,yes
116,81,technician,married,basic.9y,unknown,no,no,cellular,aug,mon,1338,3,-128,4,failure,-1.154569421926987,93.94278015534454,-38.316310246546465,0.8996172121038628,4980.750694884829,yes
117,75,admin.,divorced,university.degree,unknown,no,no,cellular,nov,thu,505,3,566,0,nonexistent,-1.4236830902665805,94.13378958518555,-41.701978217766,0.9161284150848761,4983.09331903063,yes
118,51,management,unknown,unknown,no,no,no,cellular,jun,tue,122,1,351,2,failure,-2.5318372001838148,93.00883829745989,-31.888948420894387,0.6377978483237315,5015.452749646313,no
119,38,retired,unknown,unknown,no,yes,no,cellular,nov,tue,204,2,616,1,failure,-2.435729220269466,93.12026486425924,-37.461821961635565,0.787467097268904,5006.142178678411,yes
120,46,entrepreneur,unknown,unknown,unknown,yes,yes,cellular,jun,wed,244,3,749,-1,nonexistent,-1.1908166602616674,93.94156241824227,-37.228533066169476,0.7295620247478264,4993.2069784990235,no
121,unknown,self-employed,unknown,unknown,no,no,no,cellular,nov,thu,1228,3,1168,1,failure,-1.1021217472659424,94.46218905927644,-50.04599576121597,1.0219256221932809,4969.726371798357,no
122,unknown,technician,married,unknown,no,yes,no,cellular,sep,thu,106,2,708,-1,nonexistent,-1.1916675714765748,94.1839225202563,-37.673872251920976,0.7442016125738401,4984.632696932806,no
123,unknown,management,single,unknown,no,no,no,cellular,sep,tue,82,4,382,1,nonexistent,-1.109044371466661,93.77366554140056,-39.54487548973835,0.90042371620269,4981.988175665155,no
124,28,services,unknown,professional.course,no,yes,no,cellular,jul,tue,206,2,614,0,nonexistent,-3.165704557346312,92.99102731730379,-31.849428982741784,0.6985383943604353,5010.20102924367,no
125,65,management,single,unknown,no,yes,no,cellular,sep,tue,530,4,237,1,failure,-2.3359122058578627,92.97460510753388,-31.244333414419618,0.8696007708557613,5000.296152460809,no
126,30,admin.,married,professional.course,unknown,no,no,cellular,jun,tue,227,1,1038,0,nonexistent,-1.1527813679028043,94.04329874669848,-42.42335411164285,0.8324469846546103,4992.09225875015,yes
127,64,services,married,professional.course,no,no,yes,cellular,jun,mon,243,2,62,3,failure,-3.2376670528339013,93.42109007165843,-35.38095967215855,0.7860734060060299,5017.070033680341,yes
128,41,technician,unknown,high.school,unknown,no,no,cellular,nov,fri,38,2,1136,-1,nonexistent,-3.238219490546788,93.12782401366226,-37.14141381333199,0.9517404248553089,5010.49421647975,no
129,38,unemployed,married,unknown,unknown,no,no,cellular,jul,wed,183,3,83,2,failure,-1.4697446725797458,93.64563020497323,-33.55242914906289,0.6455819922186937,5007.610640202058,no
130,43,admin.,single,unknown,unknown,no,no,cellular,jul,tue,165,2,252,1,nonexistent,-1.2526274018047743,94.25173702666996,-39.50337199804439,0.828876204369463,4981.9027493364965,no
131,47,self-employed,single,professional.course,no,yes,no,cellular,nov,thu,446,5,914,0,nonexistent,-2.935870610916852,92.8541453223877,-32.55528374824304,0.6590704734180904,5022.153957719612,yes
132,98,unknown,divorced,basic.9y,no,yes,no,cellular,nov,thu,133,2,695,0,nonexistent,-2.3720956439690255,92.72571265720035,-30.427096134998262,0.691070634883766,5016.76222995174,no
133,unknown,admin.,single,unknown,no,yes,no,cellular,may,fri,815,3,240,2,failure,-1.1000126836814133,95.13719878928252,-54.1201390059323,0.8774857685800752,4968.284468753937,yes
134,25,student,unknown,unknown,no,no,no,cellular,may,mon,102,0,1036,0,nonexistent,-1.8316423323424018,92.96411445927562,-34.38838199771904,0.7424349999152862,5010.252437548279,no
135,45,retired,unknown,basic.9y,unknown,yes,no,cellular,jul,thu,662,1,171,1,nonexistent,-1.5872141985243065,93.78385995891561,-35.79056461465114,0.6543343993487727,5006.548503522404,yes
136,35,admin.,single,unknown,no,no,no,cellular,aug,mon,176,6,158,1,nonexistent,-2.6352344068599374,93.25189428562497,-32.08168157665034,0.6419801029691324,5025.924310690101,yes
137,unknown,blue-collar,married,unknown,unknown,no,no,cellular,jul,thu,1001,1,493,-1,nonexistent,-1.1168952215769332,95.6838463727627,-48.89946991729609,1.0306170835546755,4947.811696468323,yes
138,27,technician,single,unknown,no,no,no,cellular,aug,mon,369,2,718,2,failure,-1.1429022574015288,94.07569920631471,-38.0249980041051,0.9601746996010541,4970.603288564865,no
139,unknown,technician,unknown,unknown,no,unknown,no,cellular,may,wed,212,0,1292,-1,nonexistent,-1.123398875611033,94.3725729320668,-45.96652821560511,0.6403835335500946,4998.9356471885185,yes
140,34,admin.,single,unknown,no,yes,no,cellular,aug,wed,33,2,313,1,nonexistent,-1.928880945554818,93.5653611837784,-31.03195981764837,0.7195132558731228,5002.739857102191,no
141,61,technician,married,unknown,no,yes,no,cellular,jul,tue,266,2,1232,0,failure,-1.2166361297083377,94.36989090052933,-44.01503149751526,0.8265960442177243,4996.517264515591,no
142,46,admin.,unknown,unknown,no,unknown,no,cellular,may,fri,234,2,1322,-2,nonexistent,-3.3864344894828924,92.48241652740845,-27.669970975506246,0.6644212133806944,5038.354733013837,yes
143,34,management,divorced,unknown,no,unknown,yes,cellular,jul,tue,220,3,649,1,nonexistent,-2.827085603273719,93.02690921095957,-30.34560805904069,0.7860355316463783,5009.719100588372,yes
144,40,admin.,married,unknown,no,yes,no,cellular,nov,mon,195,1,1173,1,nonexistent,-2.6638646400474,93.29530313431611,-32.25644053278188,0.6739355265011019,5007.682651032646,no
145,49,admin.,married,high.school,no,yes,no,cellular,jun,wed,354,1,964,0,failure,-1.861009761669991,93.78203110904222,-36.203592365600066,0.9534413647756818,4974.328083418953,no
146,38,management,married,unknown,no,no,no,cellular,sep,tue,238,2,-21,2,failure,-1.133962030729868,94.09752980723708,-38.57224449848785,0.857477355561701,4983.303708437053,yes
147,78,student,unknown,high.school,no,yes,no,cellular,jul,thu,229,3,837,0,nonexistent,-2.797013693936168,93.17496071541115,-34.3426096007151,0.6993518733908114,5014.440147410462,yes
148,unknown,management,single,university.degree,no,yes,no,cellular,nov,wed,340,5,353,1,failure,-1.23418826383149,93.8959411939533,-43.87462690692553,0.8533106440338367,4992.414432965434,yes
149,45,services,married,unknown,no,unknown,no,cellular,sep,fri,756,0,591,1,nonexistent,-1.1229756964707418,93.69026950035055,-35.08752912645718,0.7197810832723595,4982.1080017855475,yes
